Lucas, Thompson, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 7, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Carlos, Leonard, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 7, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Gaston, Smith, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 7, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Carmelo, Harden, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 7, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Osvaldo, George, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 8, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
James, Middleton, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 8, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Michael, Leonard, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 8, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Gaston, Milanesio, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 8, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Federico, Scola, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 8, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Steph, Curry, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 9, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Michael, Perez, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 9, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Luka, Jordan, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 9, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Juan, Harden, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 9, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Lucas, Duncan, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 9, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Luis, Middleton, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 10, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Michael, Ginobili, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 10, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Federico, Davidson, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 10, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Manu, Mozo, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 10, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Luka, Doncic, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 10, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
